Metric,Value
route__wirelength__iter:2,810041
route__drc_errors__iter:3,2
route__wirelength__iter:3,810035
route__drc_errors__iter:4,0
route__wirelength__iter:4,810037
route__drc_errors__iter:5,0
route__wirelength__iter:5,809509
route__drc_errors,0
route__wirelength,810037
route__vias,166941
route__vias__singlecut,166941
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,38
design__critical_disconnected_pin__count,0
route__wirelength__max,873.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,655
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,655
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,655
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,9
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.8900536115611524
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2783100495503652
timing__hold__ws__corner:min_tt_025C_1v80,0.6902349998040457
timing__setup__ws__corner:min_tt_025C_1v80,7.680407638379035
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.690235
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,13.420606
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,655
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,9
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.1061607498624157
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.3984288567400365
timing__hold__ws__corner:min_ss_100C_1v60,1.4625989722221082
timing__setup__ws__corner:min_ss_100C_1v60,0.7742322557767404
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.462599
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,0.774232
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,655
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,9
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.786294163146612
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.22246648208838285
timing__hold__ws__corner:min_ff_n40C_1v95,0.39943960381024113
timing__setup__ws__corner:min_ff_n40C_1v95,8.856412742740556
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
