Metric,Value
route__drc_errors__iter:0,16
route__wirelength__iter:0,1002852
route__drc_errors__iter:1,1
route__wirelength__iter:1,1002859
route__drc_errors__iter:2,0
route__wirelength__iter:2,1002857
route__drc_errors__iter:3,7
route__wirelength__iter:3,1002849
route__drc_errors__iter:4,0
route__wirelength__iter:4,1002845
route__drc_errors,0
route__wirelength,1002857
route__vias,215480
route__vias__singlecut,215480
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0419,35
flow__warnings__count:GRT-0243,2
design__disconnected_pin__count,43
design__critical_disconnected_pin__count,0
route__wirelength__max,1373.3
timing__unannotated_net__count__corner:nom_tt_025C_1v80,791
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,2
timing__unannotated_net__count__corner:nom_ss_100C_1v60,791
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,2
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,791
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,2
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-8.689730070358166
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26058800299627
timing__hold__ws__corner:min_tt_025C_1v80,0.7141691884458199
timing__setup__ws__corner:min_tt_025C_1v80,41.654020078828054
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.714169
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,87.704216
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,791
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,2
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,3
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-8.98853461547813
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.3821050251026984
timing__hold__ws__corner:min_ss_100C_1v60,1.2724204272604613
timing__setup__ws__corner:min_ss_100C_1v60,37.793513388568414
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.479648
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,72.621407
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,791
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,2
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,3
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-8.555817629875836
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.21085044029781067
timing__hold__ws__corner:min_ff_n40C_1v95,0.4304241529469927
timing__setup__ws__corner:min_ff_n40C_1v95,43.04642097948541
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.430424
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,92.580795
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,791
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,2
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,3
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-8.728822356428452
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2945563876183928
timing__hold__ws__corner:max_tt_025C_1v80,0.7363097007182811
timing__setup__ws__corner:max_tt_025C_1v80,41.46225169445018
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.73631
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,87.577988
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,791
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,2
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,3
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-9.049372174412934
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.43293014842905103
timing__hold__ws__corner:max_ss_100C_1v60,1.0384120524038605
timing__setup__ws__corner:max_ss_100C_1v60,37.413152745931335
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.543954
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,72.361076
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,791
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,2
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,3
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-8.583666465013152
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.23491564913798396
timing__hold__ws__corner:max_ff_n40C_1v95,0.44454308159506634
timing__setup__ws__corner:max_ff_n40C_1v95,42.92589871723718
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
